medico,comentarios,Data,del
luiz guilherme de siqueira flora,"M
Marcia Fernanda(paciente Ivone Maria)
14 de dezembro de 2023
Local: Dr. Luiz Guilherme - Flora & Cobianchi...mais
Melhor psiquiatra que encontrei para minha mãe desde ano 2000.
juntou os caquinhos de minha mãe, e esta transformando ela em outra pessoa.
ele esta tratando dela de uma depressão muito forte, com caso de quase internação.
E hoje vejo minha muito mas muito melhor.
nao tenho nem palavras pra agradecer esse meu anjo. que Deus botou em nosso caminho.
Solicitar revisão",2023-12-14 20:00:00,0
luiz guilherme de siqueira flora,"Melhor psiquiatra que encontrei para minha mãe desde ano 2000.
juntou os caquinhos de minha mãe, e esta transformando ela em outra pessoa.
ele esta tratando dela de uma depressão muito forte, com caso de quase internação.
E hoje vejo minha muito mas muito melhor.
nao tenho nem palavras pra agradecer esse meu anjo. que Deus botou em nosso caminho.",2000-03-02 00:00:00,0
luiz guilherme de siqueira flora,"P
Pedro Kronka
Perfil verificado
7 de dezembro de 2023 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi • Consulta Psiquiatra
Profissional sensacional, humano, atenciosos, simpatico, empatico, ate agora o melhor psiquiatra que eu fui.
Solicitar revisão",2023-12-07 00:00:00,0
luiz guilherme de siqueira flora,"Profissional sensacional, humano, atenciosos, simpatico, empatico, ate agora o melhor psiquiatra que eu fui.",,1
luiz guilherme de siqueira flora,"S
Shirley
Perfil verificado
24 de novembro de 2023 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi • Retorno de consultas Psiquiatria
Excelente profissional,dedicado a profissão,compreensivo com os seus pacientes sempre deixando-o a vontade em seu consultório. Muito bom...
Recomendo a todos.
Solicitar revisão",2023-11-24 00:00:00,0
luiz guilherme de siqueira flora,"Excelente profissional,dedicado a profissão,compreensivo com os seus pacientes sempre deixando-o a vontade em seu consultório. Muito bom...
Recomendo a todos.",,1
luiz guilherme de siqueira flora,"N
Nathan Oluveira de Souza
Perfil verificado
10 de novembro de 2023 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi • Consulta Psiquiatra
Deu atenção genuína às questões que eu levei à consulta e apresentou uma resposta coerente.
Solicitar revisão",2023-11-10 00:00:00,0
luiz guilherme de siqueira flora,Deu atenção genuína às questões que eu levei à consulta e apresentou uma resposta coerente.,,1
luiz guilherme de siqueira flora,"J
Jonas
Perfil verificado
1 de novembro de 2023 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi • Consulta Psiquiatra
Excelente profissional extremamente atencioso, busca sanar dúvidas e se disponibiliza totalmente ao paciente
Solicitar revisão",2023-11-01 00:00:00,0
luiz guilherme de siqueira flora,"Excelente profissional extremamente atencioso, busca sanar dúvidas e se disponibiliza totalmente ao paciente",,1
luiz guilherme de siqueira flora,"P
Paula
Perfil verificado
28 de outubro de 2023 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi • Consulta Psiquiatra
Acompanhei minha mãe em sua primeira consulta com o Dr. Luiz Guilherme, estávamos ansiosas e eu senti uma responsabilidade enorme por trazê-la de Minas de última hora sem conhecer o médico.( foi indicação).Arrisquei pois era necessário, ela sofre há muitos anos e busca tratamento. ( todos sem sucesso e sem diagnóstico).
Foi incrível a consulta, pois vi um ser humano antes de ver um médico. Totalmente empático, educado, paciente, atento aos detalhes, carinhoso a ponto de nos deixar tão seguras e acolhidas que até esquecia que estava dentro de um consultório rsrs. Profissional extremamente capacitado. Saímos do consultório pela primeira vez na vida dela ( em +- 40 anos) com diagnóstico e tratamento correto para iniciar. Valeu todo esforço, oração, correria...ela irá iniciar o tratamento e continuar com o Dr Luiz.
Gostaria de agradecer imensamente p
or tudo! Que muitos pacientes tenham a chance de conhecê-los para sentir tudo que sentimos. Obrigada
Solicitar revisão",,1
luiz guilherme de siqueira flora,"Acompanhei minha mãe em sua primeira consulta com o Dr. Luiz Guilherme, estávamos ansiosas e eu senti uma responsabilidade enorme por trazê-la de Minas de última hora sem conhecer o médico.( foi indicação).Arrisquei pois era necessário, ela sofre há muitos anos e busca tratamento. ( todos sem sucesso e sem diagnóstico).
Foi incrível a consulta, pois vi um ser humano antes de ver um médico. Totalmente empático, educado, paciente, atento aos detalhes, carinhoso a ponto de nos deixar tão seguras e acolhidas que até esquecia que estava dentro de um consultório rsrs. Profissional extremamente capacitado. Saímos do consultório pela primeira vez na vida dela ( em +- 40 anos) com diagnóstico e tratamento correto para iniciar. Valeu todo esforço, oração, correria...ela irá iniciar o tratamento e continuar com o Dr Luiz.
Gostaria de agradecer imensamente p
or tudo! Que muitos pacientes tenham a chance de conhecê-los para sentir tudo que sentimos. Obrigada",2040-03-02 00:00:00,0
luiz guilherme de siqueira flora,"A
Amanda
Perfil verificado
27 de outubro de 2023 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi • Consulta Psiquiatra
Dr. Flora mudou a história da minha família! Agendei a consulta para o meu pai, que há quase 1 ano vinha se arrastando com depressão pós luto, não falava com ninguém. Apesar de resistente, meu pai compareceu à consulta com o Dr. e... Que bênção! Ele já chegou em casa parecendo outra pessoa. A consulta durou 1h, receitou medicamentos e exames complementares. Hoje meu pai é outra pessoa. Gratidão Dr.
Solicitar revisão",,1
luiz guilherme de siqueira flora,"Dr. Flora mudou a história da minha família! Agendei a consulta para o meu pai, que há quase 1 ano vinha se arrastando com depressão pós luto, não falava com ninguém. Apesar de resistente, meu pai compareceu à consulta com o Dr. e... Que bênção! Ele já chegou em casa parecendo outra pessoa. A consulta durou 1h, receitou medicamentos e exames complementares. Hoje meu pai é outra pessoa. Gratidão Dr.",2024-03-01 01:00:00,0
luiz guilherme de siqueira flora,"R
Rodrigo
Perfil verificado
21 de outubro de 2023
Local: Dr. Luiz Guilherme - Flora & Cobianchi • Consulta Psiquiatra
Psiquiatra
Psiquiatra excelente. Dr. Luiz Guilherme tem uma abordagem diferenciada, muito mais empática e pessoal. Ele conversa e ouve tudo o que o paciente diz. É uma consulta longa e sem pressa, o tempo que o paciente precisar. Além disso, ele traz explicação de condições e diagnósticos complexos de forma simples para que o paciente e familiares possam facilmente entender. Realmente me surpreendeu muito.
Solicitar revisão",2023-10-21 00:00:00,0
luiz guilherme de siqueira flora,"Psiquiatra
Psiquiatra excelente. Dr. Luiz Guilherme tem uma abordagem diferenciada, muito mais empática e pessoal. Ele conversa e ouve tudo o que o paciente diz. É uma consulta longa e sem pressa, o tempo que o paciente precisar. Além disso, ele traz explicação de condições e diagnósticos complexos de forma simples para que o paciente e familiares possam facilmente entender. Realmente me surpreendeu muito.",,1
luiz guilherme de siqueira flora,"G
Glória Maria Ronconi Moreira
Perfil verificado
11 de outubro de 2023 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi • Consulta Psiquiatra
Excelente profissional ! Feliz demais com seu atendimento !
Solicitar revisão",2023-10-11 00:00:00,0
luiz guilherme de siqueira flora,Excelente profissional ! Feliz demais com seu atendimento !,,1
luiz guilherme de siqueira flora,"J
Janio braz
Perfil verificado
30 de setembro de 2023 • Consulta marcada na doctoralia.com.br
• Local: Consulta online • Teleconsulta
Sensacional sua disponibilidade para ouvir atentamente e entender o que precisa ser feito, em conjunto com a habilidade de demonstrar o que o paciente precisa , mesmo a contra gosto inicial, sua perseverança e comunicação democrática alcançam o resultado necessário parabéns
Solicitar revisão",2023-09-30 00:00:00,0
luiz guilherme de siqueira flora,"Sensacional sua disponibilidade para ouvir atentamente e entender o que precisa ser feito, em conjunto com a habilidade de demonstrar o que o paciente precisa , mesmo a contra gosto inicial, sua perseverança e comunicação democrática alcançam o resultado necessário parabéns",,1
luiz guilherme de siqueira flora,"D
Diego Augusto Santos Silva
Perfil verificado
15 de setembro de 2023 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi • Consulta Psiquiatra
Ótimo psiquiatra! atendimento maravilhoso. Tmj Doutor
Solicitar revisão",2023-09-15 00:00:00,0
luiz guilherme de siqueira flora,Ótimo psiquiatra! atendimento maravilhoso. Tmj Doutor,,1
luiz guilherme de siqueira flora,"L
Liara Alencar
Perfil verificado
15 de setembro de 2023 • Consulta marcada na doctoralia.com.br
• Local: Consulta online • Outro
Luiz é uma pessoa incrível, super atencioso e amigável.
Agradeço muito por toda ajuda, ele nos deixa tão a vontade que parece que fazem anos que nos conhecemos.
Solicitar revisão",2023-09-15 00:00:00,0
luiz guilherme de siqueira flora,"Luiz é uma pessoa incrível, super atencioso e amigável.
Agradeço muito por toda ajuda, ele nos deixa tão a vontade que parece que fazem anos que nos conhecemos.",,1
luiz guilherme de siqueira flora,"M
Márcia Satie Yamamoto
Perfil verificado
13 de setembro de 2023 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi • Consulta Psiquiatra
Consultório muito agradável.
Dr Luís Guilherme um excelente profissional, ser humano incrível.
Atencioso e gentil, ouve com atenção.
Preciso e muito bom com os "" pacientes"" ( você não sente que é paciente, pois transmite uma tranquilidade de quem está ali.
Enfim. Merece mais estrelas que 5

Solicitar revisão",,1
luiz guilherme de siqueira flora,"Consultório muito agradável.
Dr Luís Guilherme um excelente profissional, ser humano incrível.
Atencioso e gentil, ouve com atenção.
Preciso e muito bom com os "" pacientes"" ( você não sente que é paciente, pois transmite uma tranquilidade de quem está ali.
Enfim. Merece mais estrelas que 5",2024-03-05 00:00:00,0
luiz guilherme de siqueira flora,"C
Carol
Perfil verificado
23 de agosto de 2023 • Consulta marcada na doctoralia.com.br
• Local: Consulta online • Teleconsulta
Dr Luiz foi um ótimo profissional comigo, ouviu tudo que eu falei e foi muito atencioso e simpático. Ótimo profissional.
Solicitar revisão",2023-08-23 00:00:00,0
luiz guilherme de siqueira flora,"Dr Luiz foi um ótimo profissional comigo, ouviu tudo que eu falei e foi muito atencioso e simpático. Ótimo profissional.",,1
luiz guilherme de siqueira flora,"S
Samuel Nicolau
Perfil verificado
16 de agosto de 2023 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi • Consulta Psiquiatra
Consultório bem localizado no coração da VILA Ema -SJCampos, com vaga de estacionamento, atendimento personalizado, criterioso, com uma visão moderna e contextualiza à particularidades do paciente. Definitivamente o melhor.
Solicitar revisão",2023-08-16 00:00:00,0
luiz guilherme de siqueira flora,"Consultório bem localizado no coração da VILA Ema -SJCampos, com vaga de estacionamento, atendimento personalizado, criterioso, com uma visão moderna e contextualiza à particularidades do paciente. Definitivamente o melhor.",,1
luiz guilherme de siqueira flora,"F
fabianopereirapopaye@gmail.com
Perfil verificado
28 de julho de 2023 • Consulta marcada na doctoralia.com.br
• Local: outro lugar • Outro
Excelente atendimento ótimo consultório pontualmente no horário
Solicitar revisão",2023-07-28 00:00:00,0
luiz guilherme de siqueira flora,Excelente atendimento ótimo consultório pontualmente no horário,,1
luiz guilherme de siqueira flora,"L
LARISSA FORNACIARI
Perfil verificado
7 de junho de 2023 • Consulta marcada na doctoralia.com.br
• Local: Consulta online • Teleconsulta
Médico extremamente competente, muito atencioso na consulta, trata os pacientes com humanidade. Explica com detalhes o tratamento. Não poderia ser um atendimento melhor. Agradeço muito a atenção e carinho com que sou tratada.
Solicitar revisão",2023-06-07 00:00:00,0
luiz guilherme de siqueira flora,"Médico extremamente competente, muito atencioso na consulta, trata os pacientes com humanidade. Explica com detalhes o tratamento. Não poderia ser um atendimento melhor. Agradeço muito a atenção e carinho com que sou tratada.",,1
luiz guilherme de siqueira flora,"L
Leon Cruz
Perfil verificado
30 de maio de 2023 • Consulta marcada na doctoralia.com.br
• Local: Consulta online • Teleconsulta
Melhor psiquiatra da minha vida. Educado, gentil e preocupado em entender a situação do paciente. Obrigado pela atenção e carinho.
Solicitar revisão",2023-05-30 00:00:00,0
luiz guilherme de siqueira flora,"Melhor psiquiatra da minha vida. Educado, gentil e preocupado em entender a situação do paciente. Obrigado pela atenção e carinho.",,1
luiz guilherme de siqueira flora,"A
Alessandra Locks de Souza
Perfil verificado
26 de maio de 2023 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi • Consulta Psiquiatra
O dr.luiz Guilherme conversa com o paciente e deixa o paciente bem a vontade que até parece que foram amigos na infância,ele transmite confiança para o paciente nem vou falar paciente pq é um cliente Vip.
Solicitar revisão",2023-05-26 00:00:00,0
luiz guilherme de siqueira flora,"O dr.luiz Guilherme conversa com o paciente e deixa o paciente bem a vontade que até parece que foram amigos na infância,ele transmite confiança para o paciente nem vou falar paciente pq é um cliente Vip.",,1
luiz guilherme de siqueira flora,"O
Osmar
Perfil verificado
15 de maio de 2023 • Consulta marcada na doctoralia.com.br
• Local: Consulta online • Teleconsulta
Sem palavras! Melhor profissional que encontrei até hoje! Profissional muito competente, muito humano . Atende no horário certo. Ótimas instalações
Solicitar revisão",2023-05-15 00:00:00,0
luiz guilherme de siqueira flora,"Sem palavras! Melhor profissional que encontrei até hoje! Profissional muito competente, muito humano . Atende no horário certo. Ótimas instalações",,1
luiz guilherme de siqueira flora,"A
Anderson do Nascimento Mendes
Perfil verificado
5 de maio de 2023 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi • Consulta Psiquiatra
Excelente profissional tem me ajudado muito em minha recuperação
Solicitar revisão",2023-05-05 00:00:00,0
luiz guilherme de siqueira flora,Excelente profissional tem me ajudado muito em minha recuperação,,1
luiz guilherme de siqueira flora,"G
Geise
Perfil verificado
4 de abril de 2023 • Consulta marcada na doctoralia.com.br
• Local: Consulta online • Teleconsulta
Primeiro psiquiatra que realmente quis me ouvir e responder minhas dúvidas de forma clara. Isso ajuda demais no meu tratamento.
Solicitar revisão",2023-04-04 00:00:00,0
luiz guilherme de siqueira flora,Primeiro psiquiatra que realmente quis me ouvir e responder minhas dúvidas de forma clara. Isso ajuda demais no meu tratamento.,,1
luiz guilherme de siqueira flora,"J
Jessica Frigi
Perfil verificado
29 de março de 2023 • Consulta marcada na doctoralia.com.br
• Local: Consulta online • Outro
Minha experiência era somente com consultas presenciais que já eram maravilhosas, médico sempre claro, atencioso , vc não sai de lá com dúvida alguma, como eu digo não abro mão e não troco, e tive a experiência de consulta on-line não deixou a desejar em nada, parecia que era presencial, continuou o mesmo profissional, se portou de forma excelente , não mudou nada. Indico de olhos fechados
Solicitar revisão",2023-03-29 00:00:00,0
luiz guilherme de siqueira flora,"Minha experiência era somente com consultas presenciais que já eram maravilhosas, médico sempre claro, atencioso , vc não sai de lá com dúvida alguma, como eu digo não abro mão e não troco, e tive a experiência de consulta on-line não deixou a desejar em nada, parecia que era presencial, continuou o mesmo profissional, se portou de forma excelente , não mudou nada. Indico de olhos fechados",,1
luiz guilherme de siqueira flora,"I
Ines Marques de Assis
Perfil verificado
29 de março de 2023 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi • Consulta Psiquiatra
Medico suuuper atencioso, excelente ouvinte, excelente profissional, detalha o pq de determinado medicamento e sem pressa no atendimento. Amei!
Solicitar revisão",2023-03-29 00:00:00,0
luiz guilherme de siqueira flora,"Medico suuuper atencioso, excelente ouvinte, excelente profissional, detalha o pq de determinado medicamento e sem pressa no atendimento. Amei!",,1
luiz guilherme de siqueira flora,"G
Guilherme
Perfil verificado
25 de março de 2023 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi • Consulta Psiquiatra
Excelência no atendimento e clareza! Super recomendo.
Solicitar revisão",2023-03-25 00:00:00,0
luiz guilherme de siqueira flora,Excelência no atendimento e clareza! Super recomendo.,,1
luiz guilherme de siqueira flora,"D
Dr. Luiz é atencioso e excelente médico. Um tratamento que dá resultados de verdade. Excelente profissional e pessoa.
Perfil verificado
20 de março de 2023 • Consulta marcada na doctoralia.com.br
• Local: Consulta online • Teleconsulta
Amei a atenção e a forma de condução das perguntas, entendendo o paciente para um futuro diagnóstico.
Solicitar revisão",2023-03-20 00:00:00,0
luiz guilherme de siqueira flora,"Amei a atenção e a forma de condução das perguntas, entendendo o paciente para um futuro diagnóstico.",,1
luiz guilherme de siqueira flora,"V
Vanessa da Silva Pereira
Perfil verificado
17 de março de 2023 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi • Consulta Psiquiatra
Minha experiência com o Dr. Luiz Guilherme me surpreendeu desde o momento em que pisei em sua clínica, super amável e carinhoso com seus pacientes, nós faz sentir super avontade, não deixa passar nenhuma informação importante, não é dos médicos que vai fazer uma consulta de 5 min e te dispensar, com 20 dias já estou vendo mudanças enormes em meu tratamento! Sou muito grata a ele!
Solicitar revisão",,1
luiz guilherme de siqueira flora,"Minha experiência com o Dr. Luiz Guilherme me surpreendeu desde o momento em que pisei em sua clínica, super amável e carinhoso com seus pacientes, nós faz sentir super avontade, não deixa passar nenhuma informação importante, não é dos médicos que vai fazer uma consulta de 5 min e te dispensar, com 20 dias já estou vendo mudanças enormes em meu tratamento! Sou muito grata a ele!",2024-05-20 00:00:00,0
luiz guilherme de siqueira flora,"M
Maria Adelaide
Perfil verificado
10 de março de 2023 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi • Consulta Psiquiatra
Dr muito Atencioso e educado lugar bonito eficiente
Solicitar revisão",2023-03-10 00:00:00,0
luiz guilherme de siqueira flora,Dr muito Atencioso e educado lugar bonito eficiente,,1
luiz guilherme de siqueira flora,"I
Isabel Tolentino
Perfil verificado
1 de março de 2023 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi • Consulta Psiquiatra
Excelente médico! Extremamente educado, atencioso, empático e com uma excelente didática.O consultório é muito aconchegante e organizado. Atendimento na recepção foi excelente! Com certeza indicaria para outras pessoas.
Solicitar revisão",2023-03-01 00:00:00,0
luiz guilherme de siqueira flora,"Excelente médico! Extremamente educado, atencioso, empático e com uma excelente didática.O consultório é muito aconchegante e organizado. Atendimento na recepção foi excelente! Com certeza indicaria para outras pessoas.",,1
luiz guilherme de siqueira flora,"C
Camille moura
Perfil verificado
1 de março de 2023 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi • Consulta Psiquiatra
Um Profissional humanizado que escuta os pacientes com atenção, explica tudo com detalhes, realmente se preocupa com o bem do paciente
Solicitar revisão",2023-03-01 00:00:00,0
luiz guilherme de siqueira flora,"Um Profissional humanizado que escuta os pacientes com atenção, explica tudo com detalhes, realmente se preocupa com o bem do paciente",,1
luiz guilherme de siqueira flora,"S
Satomi Wakamatsu
Perfil verificado
7 de fevereiro de 2023 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi • Consulta Psiquiatra
Me sinto muito a vontade pela confiança de tenho pelo diutor Luiz Guilherme.Alem de psiquiatra, é um psicólogo pra mim.
Solicitar revisão",2023-02-07 00:00:00,0
luiz guilherme de siqueira flora,"Me sinto muito a vontade pela confiança de tenho pelo diutor Luiz Guilherme.Alem de psiquiatra, é um psicólogo pra mim.",,1
luiz guilherme de siqueira flora,"E
Edson Rafael
Perfil verificado
31 de janeiro de 2023 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi • Consulta Psiquiatra
Foi o meu filho que cinsultou com o Dr.Luiz.
Quando falavamos em Psiquiatra...Ele sempre dizia jamais irei! e ainda ficava meio que bravo.
Hoje saiu da consulta maravilhado...falando muito bem.
Obrigada Dr.Luiz.
Solicitar revisão",2023-01-31 00:00:00,0
luiz guilherme de siqueira flora,"Foi o meu filho que cinsultou com o Dr.Luiz.
Quando falavamos em Psiquiatra...Ele sempre dizia jamais irei! e ainda ficava meio que bravo.
Hoje saiu da consulta maravilhado...falando muito bem.
Obrigada Dr.Luiz.",,1
luiz guilherme de siqueira flora,"K
Karin D. Carvalho
Perfil verificado
29 de janeiro de 2023 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi • Consulta Psiquiatra
O Dr. Luiz não é apenas um excelente profissional, mas também um ser humano com um grande coração, que não mede esforços para ajudar seus pacientes e tornar o mundo um lugar melhor. Íntegro e criterioso, ele não vai fazer uma consulta de 5 minutos e receitar qualquer coisa: ele faz questão de conhecer e entender os problemas do paciente para melhor ajudá-lo. Divertido e positivo, ele torna a consulta descontraída e o paciente se sente mais à vontade para falar. Atencioso e empático, ele explica tudo e não deixa o paciente sair com dúvidas, mesmo que isso tome mais tempo. Um médico como poucos, daqueles que você não troca mais depois que encontra. Um profissional super competente, de caráter exemplar, que ama o que faz e que põe o paciente em primeiro lugar. Nota 10.
Solicitar revisão",,1
luiz guilherme de siqueira flora,"O Dr. Luiz não é apenas um excelente profissional, mas também um ser humano com um grande coração, que não mede esforços para ajudar seus pacientes e tornar o mundo um lugar melhor. Íntegro e criterioso, ele não vai fazer uma consulta de 5 minutos e receitar qualquer coisa: ele faz questão de conhecer e entender os problemas do paciente para melhor ajudá-lo. Divertido e positivo, ele torna a consulta descontraída e o paciente se sente mais à vontade para falar. Atencioso e empático, ele explica tudo e não deixa o paciente sair com dúvidas, mesmo que isso tome mais tempo. Um médico como poucos, daqueles que você não troca mais depois que encontra. Um profissional super competente, de caráter exemplar, que ama o que faz e que põe o paciente em primeiro lugar. Nota 10.",2024-05-10 00:00:00,0
luiz guilherme de siqueira flora,"M
Michelle
Perfil verificado
24 de janeiro de 2023 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi • Consulta Psiquiatra
Ótimo profissional!
Anos e anos minha mãe pulava de médico pra médico e nunca tínhamos um quadro de estabilidade do transtorno bipolar dela e consequentemente a nossa vida familiar era sempre brigas e brigas......um cenário caótico e muito desgastante emocionalmente!
Depois dela passar com o Dr Luiz, minha mãe está estabilizada.....outra mulher...... Faz pouco tempo que ela passar com o Dr Luiz.....mas a melhora em tão pouco tempo foi surreal!
Se vc precisa de um médico psiquiatra, é o Dr Luiz!
Solicitar revisão",2023-01-24 00:00:00,0
luiz guilherme de siqueira flora,"Ótimo profissional!
Anos e anos minha mãe pulava de médico pra médico e nunca tínhamos um quadro de estabilidade do transtorno bipolar dela e consequentemente a nossa vida familiar era sempre brigas e brigas......um cenário caótico e muito desgastante emocionalmente!
Depois dela passar com o Dr Luiz, minha mãe está estabilizada.....outra mulher...... Faz pouco tempo que ela passar com o Dr Luiz.....mas a melhora em tão pouco tempo foi surreal!
Se vc precisa de um médico psiquiatra, é o Dr Luiz!",,1
